type,term,unicode,source_definition,learner_definition_en,learner_definition_status,ai_review_status,review_notes
character,樓,U+6A13,building of two or more stories,multi-storey building,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,禮,U+79AE,social custom; manners; courtesy; rites,good manners; ceremony,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,顯,U+986F,"manifest, display; evident, clear",clear; show,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,抗,U+6297,"resist, oppose, defy, reject",resist; oppose,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,趣,U+8DA3,what attracts one's attention,interest; fun,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,羅,U+7F85,net for catching birds; gauze,net; gauze,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,灰,U+7070,"ashes; dust; lime, mortar",ash; grey,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,柴,U+67F4,"firewood, faggots, fuel",firewood,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,桃,U+6843,peach; marriage; surname,peach,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,窗,U+7A97,window,window,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,池,U+6C60,"pool, pond; moat; cistern",pond; pool,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,判,U+5224,judge; discriminate; conclude,judge; decide,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,忽,U+5FFD,"suddenly, abruptly; neglect",suddenly; ignore,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,厚,U+539A,thick; substantial; greatly,thick; generous,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,創,U+5275,"establish, create; knife cut",create; cut,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,預,U+9810,"prepare, arrange; in advance",prepare; in advance,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,鋒,U+92D2,"point of spear, sharp point",sharp point,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,妹,U+59B9,younger sister,younger sister,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,娘,U+5A18,mother; young girl; woman; wife,mother; young woman,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,章,U+7AE0,"composition; chapter, section",chapter; section,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,暖,U+6696,"warm, genial",warm,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,彎,U+5F4E,"bend, curve",bend; curve,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,飯,U+98EF,cooked rice; food; meal,cooked rice; meal,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,僅,U+50C5,"only, merely, solely, just",only; just,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,箭,U+7BAD,arrow; type of bamboo,arrow,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,鵝,U+9D5D,goose,goose,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,即,U+5373,"promptly, quickly, immediately",at once; immediately,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,玻,U+73BB,glass,glass,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,麻,U+9EBB,"hemp, jute, flax; sesame; Kangxi radical 200",hemp; sesame,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,絕,U+7D55,"cut, sever, break off, terminate",cut off; end,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,嗨,U+55E8,an exclamation,a greeting or exclamation,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,敬,U+656C,"respect, honor; respectfully",respect,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,璃,U+7483,glass,glass,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,洞,U+6D1E,"cave, grotto; ravine; hole",cave; hole,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,述,U+8FF0,"narrate, state, express",tell; describe,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,鼠,U+9F20,"rat, mouse; Kangxi radical 208",mouse; rat,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,壁,U+58C1,"partition wall; walls of a house; 14th lunar mansion, determinative star γ Pegasi (Algenib)",wall,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,檢,U+6AA2,check; examine,check; examine,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,翻,U+7FFB,"flip over, upset, capsize",turn over; translate,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,顧,U+9867,look back; look at; look after,look after; look at,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,巾,U+5DFE,kerchief; towel; turban; Kangxi radical 50,towel; cloth,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,充,U+5145,"fill, be full, supply",fill; supply,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,抓,U+6293,"scratch; clutch, seize, grab",grab; scratch,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,篇,U+7BC7,"chapter, section, essay, article",article; section,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,謝,U+8B1D,thank; decline,thank; refuse,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,糧,U+7CE7,"food, grain, provisions",food; grain,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,騎,U+9A0E,ride horseback; mount; cavalry,ride; horseback,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,蘇,U+8607,"revive, resurrect; a species of thyme; transliteration of 'Soviet'",revive; a plant name,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,官,U+5B98,"official, public servant",official,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,偉,U+5049,"great, robust; extraordinary",great; extraordinary,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,婆,U+5A46,old woman; grandmother,old woman; grandmother,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,摸,U+6478,gently touch with hand; caress,touch gently,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,伸,U+4F38,"extend, stretch out, open up; trust",stretch out,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,豆,U+8C46,"beans, peas; bean-shaped; Kangxi radical 151",bean; pea,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,沿,U+6CBF,"follow a course, go along",follow along,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,貨,U+8CA8,"goods, commodities, products",goods; products,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,壓,U+58D3,press; oppress; crush; pressure,press; pressure,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,礦,U+7926,"mine; mineral, ore",mine; mineral,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,宇,U+5B87,"house; building, structure; eaves",building; space,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,移,U+79FB,"change place, shift; move about",move; shift,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,止,U+6B62,"stop, halt, desist; detain",stop,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,居,U+5C45,"live, dwell, reside, sit",live; stay,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,拖,U+62D6,"drag, tow, haul; delay, prolong",drag; delay,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,境,U+5883,"boundary, frontier; area, region",area; boundary,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,豐,U+8C50,"abundant, lush, bountiful, plenty; hexagram ䷶",plentiful; rich,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,刀,U+5200,knife; old coin; measure,knife,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,壯,U+58EF,"big, large; robust; name of tribe",strong; large,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,迎,U+8FCE,"receive, welcome, greet",welcome; greet,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,降,U+964D,"descend, fall, drop; lower, down",fall; lower,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,退,U+9000,"step back, retreat, withdraw",step back; leave,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,搬,U+642C,"transfer, move, remove, shift",move; carry,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,播,U+64AD,"sow, spread; broadcast; cast away, reject",sow; broadcast,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,掛,U+639B,"hang, suspend; suspense",hang,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,傅,U+5085,"tutor, teacher; assist; surname",tutor; help,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,趙,U+8D99,surname; Warring States-era kingdom in modern Hebei and Shanxi,a family name,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,激,U+6FC0,"arouse, excite, incite; quickly",excite; stir up,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,磨,U+78E8,grind; polish; rub; wear out; a millstone,grind; polish,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,擦,U+64E6,"wipe, scrub, rub, scour; brush",wipe; rub,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,藝,U+85DD,"art; talent, ability; craft",art; skill,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,仿,U+4EFF,"imitate, copy; as if",copy; imitate,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,何,U+4F55,"what, why, where, which, how",what; why,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,衝,U+885D,"rush against, charge ahead",rush; charge,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,狼,U+72FC,wolf,wolf,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,堂,U+5802,hall; government office,hall,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,猴,U+7334,"monkey, ape; monkey-like",monkey,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,稜,U+7A1C,"corner, edge, angle; square block",corner; edge,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,拼,U+62FC,"join together, link, incorporate",join; put together,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,耕,U+8015,"plow, cultivate",plough; farm,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,航,U+822A,"sail; navigate; ship, boat",sail; navigate,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,專,U+5C08,"monopolize, take sole possession",special; only,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,麥,U+9EA5,"wheat, barley, oats; Kangxi radical 199",wheat; barley,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,亂,U+4E82,"confusion, state of chaos; create chaos, revolt",mess; chaos,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,誦,U+8AA6,"recite, chant, repeat",recite; say aloud,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,鼻,U+9F3B,nose; first; Kangxi radical 209,nose,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,雖,U+96D6,"although, even if",although; even if,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,攻,U+653B,"attack, assault; criticize",attack; criticise,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,封,U+5C01,"letter, envelope; feudal",seal; envelope,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,梯,U+68AF,"ladder, steps, stairs; lean",ladder; steps,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,殺,U+6BBA,"kill, slaughter, murder; hurt; to pare off, reduce, clip",kill; hurt,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,透,U+900F,"penetrate, pass through",pass through; see-through,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,滅,U+6EC5,"extinguish; wipe out, exterminate",put out; destroy,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,頓,U+9813,"pause, stop; bow, kowtow; arrange",pause; stop,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,窩,U+7AA9,"nest; cave, den; hiding place",nest; hiding place,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,蓋,U+84CB,"cover, hide, protect",cover; protect,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,劇,U+5287,"theatrical plays, opera, drama",drama; play,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,鞋,U+978B,"shoes, footwear in general",shoe,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,仔,U+4ED4,"small thing, child; young animal",small; young animal,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,困,U+56F0,"to surround, besiege; to be surrounded; difficult; hexagram ䷮",surround; difficult,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,初,U+521D,"beginning, initial, primary",beginning; first,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,消,U+6D88,"vanish, die out; melt away",disappear; melt,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,嘰,U+5630,sigh in disapproval; take small,a small complaining sound,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,魯,U+9B6F,"foolish, stupid, rash; vulgar",foolish; rough,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,未,U+672A,not yet; eighth earthly branch,not yet,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,穀,U+7A40,"corn, grain, cereal; lucky",grain; cereal,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,掃,U+6383,"sweep, clear away; exterminate",sweep; clear away,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,鉛,U+925B,"lead (element 82, Pb)",lead (a metal),approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,漁,U+6F01,to fish; seize; pursue; surname,fish; catch fish,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,誤,U+8AA4,"err, make mistake; interfere",make a mistake,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,職,U+8077,"duty, profession; office, post",job; duty,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,藥,U+85E5,"drugs, pharmaceuticals, medicine",medicine,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,制,U+5236,system; establish; overpower,system; control,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,杯,U+676F,"cup, glass",cup; glass,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,針,U+91DD,needle; pin; tack; acupuncture,needle; pin,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,揮,U+63EE,direct; wipe away; squander,direct; wave,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,蒙,U+8499,cover; ignorant; suffer; Mongolia; hexagram ䷃,cover; not understand,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,醫,U+91AB,"medicine; to cure, heal; physician",doctor; medicine,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,孔,U+5B54,"opening, hole, orifice; great",hole; opening,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,束,U+675F,"bind, control, restrain; bale",tie; bundle,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,胡,U+80E1,"recklessly, foolishly; wildly",reckless; silly,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,島,U+5CF6,island,island,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,案,U+6848,"table, bench; legal case",plan; case,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,訣,U+8A23,"take leave of, bid farewell",say goodbye,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,握,U+63E1,"grasp, hold fast, take by hand",hold tightly,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,塑,U+5851,"model in clay, sculpt; plastics",shape; sculpture,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,態,U+614B,"manner, bearing, attitude",attitude; manner,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,操,U+64CD,"conduct, run, control, manage",operate; manage,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,醒,U+9192,wake up; sober up; startle,wake up; become sober,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,秒,U+79D2,beard of grain or corn; a second,second,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,陸,U+9678,"land, continental; army",land; army,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,晶,U+6676,"crystal; clear, bright; radiant",crystal; bright,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,貼,U+8CBC,"paste to, stick on; attached to",stick on; attached,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,獻,U+737B,"offer, present; show, display",offer; present,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,府,U+5E9C,prefecture; prefect; government,government office,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,附,U+9644,"adhere to, append; rely on near to",attach; rely on,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,須,U+9808,"must, have to, necessary; moment; whiskers",must; need,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,滑,U+6ED1,"slip, slide; slippery, polished",slide; slippery,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,嘩,U+5629,rushing sound; gush forward,a rushing or loud sound,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,慶,U+6176,"congratulate, celebrate",celebrate,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,肉,U+8089,flesh; meat; Kangxi radical 130,meat,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,喂,U+5582,interjection to call attention,a call to get attention,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,維,U+7DAD,"maintain, preserve, safeguard",maintain; protect,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,鬧,U+9B27,quarrel; dispute hotly,quarrel; make a fuss,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,柳,U+67F3,"willow tree; pleasure; 24th lunar mansion, determinative star δ Hydrae",willow tree,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,洲,U+6D32,continent; island; islet,island; continent,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,捉,U+6349,"grasp, clutch; catch, seize",catch; grab,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,澤,U+6FA4,"marsh, swamp; grace, brilliance; damp, moist; fertile",marsh; kindness,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,館,U+9928,public building,public building; hall,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,嚕,U+5695,"verbose, talkative; mumbling",mumble; talk too much,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,珍,U+73CD,"precious, valuable, rare",precious; rare,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,腰,U+8170,waist; kidney,waist,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,龍,U+9F8D,dragon; Kangxi radical 212,dragon,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,靈,U+9748,"spirit, soul; spiritual world",spirit; soul,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,托,U+6258,"to hold up with palm; to support, rely on",hold up; support,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,治,U+6CBB,"govern, regulate, administer",govern; treat,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,芽,U+82BD,"bud, sprout, shoot",bud; sprout,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,桶,U+6876,"pail, bucket, tub; cask, keg",bucket; barrel,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,郵,U+90F5,"postal, mail; post office",mail; post office,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,遍,U+904D,"everywhere, all over, throughout",everywhere; all over,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,奮,U+596E,"strive, exert effort; arouse",make an effort,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,擔,U+64D4,"carry, bear, undertake",carry; take responsibility,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,屬,U+5C6C,"class, category, type; to belong to",belong to; type,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,夥,U+5925,companion; partner; assistant,companion; partner,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,委,U+59D4,"appoint, send, commission",appoint; entrust,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,則,U+5247,"rule, law, regulation; grades",rule; example,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,待,U+5F85,"treat, entertain, receive; wait",wait; treat,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,派,U+6D3E,"school of thought, sect, branch",group; send,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,盛,U+76DB,"abundant, flourishing; contain; fill",full; flourishing,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,築,U+7BC9,"build, erect; building",build,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,階,U+968E,"stairs, steps; rank, degree",stairs; level,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,蜂,U+8702,"bee, wasp, hornet",bee; wasp,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,尺,U+5C3A,Chinese measure approx. 'foot',a Chinese foot,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,乎,U+4E4E,interrogative or exclamatory final particle,a question or exclamation ending,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,侵,U+4FB5,"invade, encroach upon, raid",invade; encroach,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,淨,U+6DE8,"pure, clean, unspoiled",clean; pure,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,溪,U+6EAA,"mountain stream, creek",stream; creek,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,歸,U+6B78,"return; return to, revert to",return,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,票,U+7968,slip of paper or bamboo; ticket,ticket; slip of paper,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,尊,U+5C0A,"respect, revere, venerate; honor",respect; honour,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,熟,U+719F,well-cooked; ripe; familiar with,cooked; familiar,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,績,U+7E3E,spin; achievements,achievement; result,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,譯,U+8B6F,translate; decode; encode,translate,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,忘,U+5FD8,"forget; neglect; miss, omit",forget,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,典,U+5178,"law, canon; documentation; classic, scripture",classic book; rule,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,咱,U+54B1,"we, us",we; us,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,痛,U+75DB,"pain, ache; sorry, sad; bitter",pain; ache,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,舒,U+8212,"open up, unfold, stretch out; comfortable, easy",stretch; comfortable,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,概,U+6982,"generally, approximately",generally; roughly,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,碗,U+7897,"bowl, small dish",bowl,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,豎,U+8C4E,vertical; perpendicular; upright,vertical; upright,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,嶺,U+5DBA,"mountain ridge, mountain peak",mountain ridge,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,刺,U+523A,"stab; prick, irritate; prod",stab; prick,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,追,U+8FFD,"pursue, chase after; expel",chase; pursue,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
character,健,U+5065,"strong, robust, healthy; strength",healthy; strong,approved,codex-reviewed-draft,Codex reviewed source meaning and wrote a short primary-school definition.
